,Mean,Std Dev,Min,Max,Median,IQR
Sim1,1.0659773662551442,1.5559630336000099,0.06,7.44,0.375,1.1
Sim2,0.0705246913580247,0.030459225845529576,0.03,0.14,0.06,0.05
Sim3 (BME),0.32136316872427984,0.3783336050662909,0.05,1.96,0.22,0.22000000000000003
