,mean,std,min,max,iqr
Sim1_final_price,1.0661378427871235,1.556103024820611,0.06064155017039166,7.444622399061382,1.0967442126920532
Sim2_final_price,0.5833333333333334,0.31183151790385666,0.25,1.0,0.75
Sim3_final_price,0.5833333333333334,0.31183151790385666,0.25,1.0,0.75
